Index,MAC,Vendor,SSID,Channel,Mode,RSSI,Noise,Security
1,34:3d:c4:34:3e:81,BUFFALO.INC,.,6,802.11g/n,-16,-95,AES
2,88:57:ee:6f:db:a7,BUFFALO.INC,21_11g_CPSE_TT,1,802.11g/n,-20,-95,AES
3,88:57:ee:6f:db:a3,BUFFALO.INC,22_11g_CPSE_HM,1,802.11g/n,-20,-95,AES
4,88:57:ee:6f:db:a5,BUFFALO.INC,23_11g_CPSE_AY,1,802.11g/n,-20,-95,AES
5,88:57:ee:6f:db:a4,BUFFALO.INC,19_11g_CPSE_KH,1,802.11g/n,-20,-95,AES
6,88:57:ee:6f:db:a2,BUFFALO.INC,18_11g_CPSE_HT,1,802.11g/n,-20,-95,AES
7,88:57:ee:6f:db:a6,BUFFALO.INC,20_11g_CPSE_MA,1,802.11g/n,-20,-95,AES
8,88:57:ee:6f:db:a1,BUFFALO.INC,17_11g_CPSE_Share,1,802.11g/n,-20,-95,AES
9,00:03:7f:12:98:97,"Atheros Communications, Inc.",WAPM-AX8R-test2,6,802.11g/n/ax,-23,-95,AES
10,74:da:38:61:49:92,Edimax Technology Co. Ltd.,CFD-RMG2.4G,3,802.11g/n,-28,-95,AES
11,60:84:bd:46:26:f0,BUFFALO.INC,FREESPOT,11,802.11g/n,-29,-95,NONE
12,c4:36:c0:c3:17:73,BUFFALO.INC,radiustest-peap,11,802.11g/n/ax,-29,-95,AES
13,34:3d:c4:34:3e:82,BUFFALO.INC,0000BITSTEST-ZZZZ,6,802.11g/n,-30,-95,AES
14,c4:36:c0:c3:17:72,BUFFALO.INC,navitest-ma,11,802.11g/n/ax,-30,-95,AES
15,c4:36:c0:c3:17:71,BUFFALO.INC,Navitest-24,11,802.11g/n/ax,-30,-95,AES
16,50:c4:dd:4f:c1:78,BUFFALO.INC,Buffalo-G-C178,6,802.11g/n,-31,-95,AES
17,34:3d:c4:34:3e:80,BUFFALO.INC,AW-WAPM1166D-g,6,802.11g/n,-32,-95,AES
18,50:c4:dd:ca:71:9f,BUFFALO.INC,Buffalo-G-7190-WPA3,1,802.11g/n/ax,-33,-95,AES
19,50:c4:dd:ca:71:98,BUFFALO.INC,Buffalo-G-7190,1,802.11g/n/ax,-33,-95,AES
20,c4:36:c0:c3:17:74,BUFFALO.INC,radiustest-tls,11,802.11g/n/ax,-35,-95,AES
21,50:c4:dd:b4:08:28,BUFFALO.INC,DTKY_DiRAS,5+1,802.11g/n,-43,-95,AES
22,58:27:8c:fb:09:02,BUFFALO.INC,FREESPOT,11,802.11g/n,-46,-95,NONE
23,58:27:8c:fb:09:03,BUFFALO.INC,.,11,802.11g/n,-47,-95,AES
24,58:27:8c:fb:09:00,BUFFALO.INC,WAP-G,11,802.11g/n,-47,-95,AES
25,18:c2:bf:c3:0e:a1,BUFFALO.INC,WAP-BITSsales_G,3,802.11g/n,-50,-95,AES
26,58:27:8c:fb:09:01,BUFFALO.INC,WAP-BITSsales_G,11,802.11g/n,-50,-95,AES
27,18:c2:bf:62:ac:b1,BUFFALO.INC,WAP-BITSsales_G,7,802.11g/n,-52,-95,AES
28,18:c2:bf:c3:17:d0,BUFFALO.INC,WAP-G,9,802.11g/n,-53,-95,AES
29,c4:36:c0:c3:17:41,BUFFALO.INC,BUFFALO_DEMO,8,802.11g/n/ax,-54,-95,AES
30,18:c2:bf:c3:08:40,BUFFALO.INC,FREESPOT,11,802.11g/n,-55,-95,NONE
31,18:c2:bf:62:ac:b3,BUFFALO.INC,.,7,802.11g/n,-55,-95,AES
32,18:c2:bf:c3:17:d2,BUFFALO.INC,FREESPOT,9,802.11g/n,-56,-95,NONE
33,18:c2:bf:c3:17:d1,BUFFALO.INC,WAP-BITSsales_G,9,802.11g/n,-56,-95,AES
34,18:c2:bf:c3:17:d3,BUFFALO.INC,.,9,802.11g/n,-57,-95,AES
35,d0:15:a6:7c:29:82,"Aruba, a Hewlett Packard Enterprise Company",DTKY_BIZ,11,802.11g/n,-61,-95,AES
36,18:c2:bf:c3:0e:a2,BUFFALO.INC,FREESPOT,3,802.11g/n,-61,-95,NONE
37,d0:15:a6:7c:29:83,"Aruba, a Hewlett Packard Enterprise Company",DTKY_DEV,11,802.11g/n,-62,-95,AES
38,50:41:b9:05:0a:79,"I-O DATA DEVICE,INC.",IODATA-050a78-2G,1+5,802.11g/n,-65,-95,AES
39,18:c2:bf:62:ca:22,BUFFALO.INC,FREESPOT,3,802.11g/n,-65,-95,NONE
40,52:41:b9:15:0a:79,<Random MAC>,IO-Guest-050a78-2G,1+5,802.11g/n,-65,-95,AES
41,c4:36:c0:c3:cc:01,BUFFALO.INC,BSS-DEMO,7,802.11g/n/ax,-65,-95,AES
42,18:c2:bf:62:de:93,BUFFALO.INC,.,10,802.11g/n,-67,-95,AES
43,18:c2:bf:62:de:91,BUFFALO.INC,WAP-BITSsales_G,10,802.11g/n,-70,-95,AES
44,ac:23:16:2d:4e:c1,"Mist Systems, Inc.",VKjfJSwr5amFWsZr,1,802.11g/n/ax,-72,-95,AES
45,ac:23:16:2d:4e:c3,"Mist Systems, Inc.",.,1,802.11g/n/ax,-73,-95,AES
46,ac:23:16:2d:4e:c2,"Mist Systems, Inc.",.,1,802.11g/n/ax,-73,-95,AES
47,90:96:f3:72:ae:40,BUFFALO.INC,FREESPOT,1,802.11g/n,-74,-95,NONE
48,ae:46:9d:1c:96:5d,<Random MAC>,cns-guest,11,802.11g/n/ax,-74,-95,AES
49,ac:23:16:2c:fd:f3,"Mist Systems, Inc.",.,1,802.11g/n/ax,-75,-95,AES
50,96:46:9d:1c:96:5d,<Random MAC>,.,11,802.11g/n/ax,-75,-95,AES
51,cc:e1:d5:ee:de:d4,BUFFALO.INC,Buffalo-G-DED4,1,802.11g/n,-76,-95,AES
52,c2:5d:83:7e:e5:aa,<Random MAC>,Galaxy_5GMW_8406,1,802.11g/n,-77,-95,AES
53,ac:23:16:2c:fd:f1,"Mist Systems, Inc.",VKjfJSwr5amFWsZr,1,802.11g/n/ax,-81,-95,AES
