date                  facility       log content
------------------------------------------------------------------------
2023/01/04 05:05:37   WIRELESS      wl2.0 (6GHz): Encryption Key Renewing
2023/01/04 05:05:30   WIRELESS      wl1.0 (2.4GHz): Encryption Key Renewing
2023/01/04 05:01:45   WIRELESS      wl1 (2.4GHz): Detect interference(70per) [with Non-802.11] on channel 1.
2023/01/04 04:59:45   WIRELESS      wl1 (2.4GHz): Detect interference(83per) [with Non-802.11] on channel 1.
2023/01/04 04:58:35   WIRELESS      wl1 (2.4GHz): Detect interference(65per) [with Non-802.11] on channel 1.
2023/01/04 04:56:40   WIRELESS      wl1 (2.4GHz): Detect interference(88per) [with Non-802.11] on channel 1.
2023/01/04 04:55:15   WIRELESS      wl1 (2.4GHz): Detect interference(79per) [with Non-802.11] on channel 1.
2023/01/04 04:52:59   WIRELESS      wl1 (2.4GHz): Detect interference(81per) [with Non-802.11] on channel 1.
2023/01/04 04:52:14   WIRELESS      wl1 (2.4GHz): Detect interference(65per) [with Non-802.11] on channel 1.
2023/01/04 04:49:48   WIRELESS      wl1 (2.4GHz): Detect interference(84per) [with Non-802.11] on channel 1.
2023/01/04 04:49:13   WIRELESS      wl1 (2.4GHz): Detect interference(65per) [with Non-802.11] on channel 1.
2023/01/04 04:46:43   WIRELESS      wl1 (2.4GHz): Detect interference(87per) [with Non-802.11] on channel 1.
2023/01/04 04:46:07   WIRELESS      wl1 (2.4GHz): Detect interference(69per) [with Non-802.11] on channel 1.
2023/01/04 04:43:17   WIRELESS      wl1 (2.4GHz): Detect interference(84per) [with Non-802.11] on channel 1.
2023/01/04 04:43:02   WIRELESS      wl1 (2.4GHz): Detect interference(67per) [with Non-802.11] on channel 1.
2023/01/04 04:39:57   WIRELESS      wl1 (2.4GHz): Detect interference(86per) [with Non-802.11] on channel 1.
2023/01/04 04:39:47   WIRELESS      wl1 (2.4GHz): Detect interference(68per) [with Non-802.11] on channel 1.
2023/01/04 04:36:56   WIRELESS      wl1 (2.4GHz): Detect interference(81per) [with Non-802.11] on channel 1.
2023/01/04 04:36:46   WIRELESS      wl1 (2.4GHz): Detect interference(77per) [with Non-802.11] on channel 1.
2023/01/04 04:33:41   WIRELESS      wl1 (2.4GHz): Detect interference(86per) [with Non-802.11] on channel 1.
2023/01/04 04:33:30   WIRELESS      wl1 (2.4GHz): Detect interference(66per) [with Non-802.11] on channel 1.
2023/01/04 04:30:35   WIRELESS      wl1 (2.4GHz): Detect interference(87per) [with Non-802.11] on channel 1.
2023/01/04 04:30:15   WIRELESS      wl1 (2.4GHz): Detect interference(75per) [with Non-802.11] on channel 1.
2023/01/04 04:27:20   WIRELESS      wl1 (2.4GHz): Detect interference(84per) [with Non-802.11] on channel 1.
2023/01/04 04:27:10   WIRELESS      wl1 (2.4GHz): Detect interference(70per) [with Non-802.11] on channel 1.
2023/01/04 04:24:05   WIRELESS      wl1 (2.4GHz): Detect interference(84per) [with Non-802.11] on channel 1.
2023/01/04 04:23:55   WIRELESS      wl1 (2.4GHz): Detect interference(77per) [with Non-802.11] on channel 1.
2023/01/04 04:20:59   WIRELESS      wl1 (2.4GHz): Detect interference(85per) [with Non-802.11] on channel 1.
2023/01/04 04:20:44   WIRELESS      wl1 (2.4GHz): Detect interference(67per) [with Non-802.11] on channel 1.
2023/01/04 04:17:59   WIRELESS      wl1 (2.4GHz): Detect interference(85per) [with Non-802.11] on channel 1.
2023/01/04 04:17:44   WIRELESS      wl1 (2.4GHz): Detect interference(66per) [with Non-802.11] on channel 1.
2023/01/04 04:14:49   WIRELESS      wl1 (2.4GHz): Detect interference(87per) [with Non-802.11] on channel 1.
2023/01/04 04:14:09   WIRELESS      wl1 (2.4GHz): Detect interference(72per) [with Non-802.11] on channel 1.
2023/01/04 04:11:44   WIRELESS      wl1 (2.4GHz): Detect interference(88per) [with Non-802.11] on channel 1.
2023/01/04 04:10:59   WIRELESS      wl1 (2.4GHz): Detect interference(73per) [with Non-802.11] on channel 1.
2023/01/04 04:08:03   WIRELESS      wl1 (2.4GHz): Detect interference(85per) [with Non-802.11] on channel 1.
2023/01/04 04:07:58   WIRELESS      wl1 (2.4GHz): Detect interference(74per) [with Non-802.11] on channel 1.
2023/01/04 04:05:37   WIRELESS      wl2.0 (6GHz): Encryption Key Renewing
2023/01/04 04:05:30   WIRELESS      wl1.0 (2.4GHz): Encryption Key Renewing
2023/01/04 04:04:53   WIRELESS      wl1 (2.4GHz): Detect interference(82per) [with Non-802.11] on channel 1.
2023/01/04 04:04:48   WIRELESS      wl1 (2.4GHz): Detect interference(73per) [with Non-802.11] on channel 1.
2023/01/04 04:01:52   WIRELESS      wl1 (2.4GHz): Detect interference(80per) [with Non-802.11] on channel 1.
2023/01/04 04:01:47   WIRELESS      wl1 (2.4GHz): Detect interference(71per) [with Non-802.11] on channel 1.
2023/01/04 03:47:26   WIRELESS      wl1 (2.4GHz): Detect interference(62per) [with Non-802.11] on channel 1.
2023/01/04 03:34:00   WIRELESS      wl1 (2.4GHz): Detect interference(60per) [with Non-802.11] on channel 1.
2023/01/04 03:29:59   WIRELESS      wl1 (2.4GHz): Detect interference(63per) [with Non-802.11] on channel 1.
2023/01/04 03:22:39   WIRELESS      wl1 (2.4GHz): Detect interference(67per) [with Non-802.11] on channel 1.
2023/01/04 03:14:13   WIRELESS      wl1 (2.4GHz): Detect interference(65per) [with Non-802.11] on channel 1.
2023/01/04 03:05:37   WIRELESS      wl2.0 (6GHz): Encryption Key Renewing
2023/01/04 03:05:30   WIRELESS      wl1.0 (2.4GHz): Encryption Key Renewing
2023/01/04 02:05:37   WIRELESS      wl2.0 (6GHz): Encryption Key Renewing
2023/01/04 02:05:30   WIRELESS      wl1.0 (2.4GHz): Encryption Key Renewing
2023/01/04 01:53:55   WIRELESS      wl1 (2.4GHz): Detect interference(92per) [with Non-802.11] on channel 1.
2023/01/04 01:52:25   WIRELESS      wl0 (5GHz): Detect interference(76per) [with Non-802.11] on channel 36.
2023/01/04 01:16:46   WIRELESS      wl1 (2.4GHz): Detect interference(74per) [with Non-802.11] on channel 1.
2023/01/04 01:05:37   WIRELESS      wl2.0 (6GHz): Encryption Key Renewing
2023/01/04 01:05:30   WIRELESS      wl1.0 (2.4GHz): Encryption Key Renewing
2023/01/04 01:01:20   WIRELESS      wl1 (2.4GHz): Detect interference(86per) [with Non-802.11] on channel 1.
2023/01/04 00:58:19   WIRELESS      wl1 (2.4GHz): Detect interference(88per) [with Non-802.11] on channel 1.
2023/01/04 00:58:09   WIRELESS      wl1 (2.4GHz): Detect interference(65per) [with Non-802.11] on channel 1.
2023/01/04 00:54:59   WIRELESS      wl1 (2.4GHz): Detect interference(88per) [with Non-802.11] on channel 1.
2023/01/04 00:54:54   WIRELESS      wl1 (2.4GHz): Detect interference(77per) [with Non-802.11] on channel 1.
2023/01/04 00:51:54   WIRELESS      wl1 (2.4GHz): Detect interference(89per) [with Non-802.11] on channel 1.
2023/01/04 00:51:39   WIRELESS      wl1 (2.4GHz): Detect interference(63per) [with Non-802.11] on channel 1.
2023/01/04 00:48:53   WIRELESS      wl1 (2.4GHz): Detect interference(88per) [with Non-802.11] on channel 1.
2023/01/04 00:48:33   WIRELESS      wl1 (2.4GHz): Detect interference(75per) [with Non-802.11] on channel 1.
2023/01/04 00:45:48   WIRELESS      wl1 (2.4GHz): Detect interference(90per) [with Non-802.11] on channel 1.
2023/01/04 00:45:28   WIRELESS      wl1 (2.4GHz): Detect interference(73per) [with Non-802.11] on channel 1.
2023/01/04 00:42:43   WIRELESS      wl1 (2.4GHz): Detect interference(90per) [with Non-802.11] on channel 1.
2023/01/04 00:42:03   WIRELESS      wl1 (2.4GHz): Detect interference(76per) [with Non-802.11] on channel 1.
2023/01/04 00:39:17   WIRELESS      wl1 (2.4GHz): Detect interference(87per) [with Non-802.11] on channel 1.
2023/01/04 00:38:37   WIRELESS      wl1 (2.4GHz): Detect interference(70per) [with Non-802.11] on channel 1.
2023/01/04 00:36:17   WIRELESS      wl1 (2.4GHz): Detect interference(90per) [with Non-802.11] on channel 1.
2023/01/04 00:35:37   WIRELESS      wl1 (2.4GHz): Detect interference(72per) [with Non-802.11] on channel 1.
2023/01/04 00:33:12   WIRELESS      wl1 (2.4GHz): Detect interference(86per) [with Non-802.11] on channel 1.
2023/01/04 00:31:42   WIRELESS      wl1 (2.4GHz): Detect interference(75per) [with Non-802.11] on channel 1.
2023/01/04 00:30:07   WIRELESS      wl1 (2.4GHz): Detect interference(87per) [with Non-802.11] on channel 1.
2023/01/04 00:27:01   WIRELESS      wl1 (2.4GHz): Detect interference(84per) [with Non-802.11] on channel 1.
2023/01/04 00:24:51   WIRELESS      wl1 (2.4GHz): Detect interference(77per) [with Non-802.11] on channel 1.
2023/01/04 00:24:01   WIRELESS      wl1 (2.4GHz): Detect interference(88per) [with Non-802.11] on channel 1.
