Index,MAC,Vendor,SSID,Channel,Mode,RSSI,Noise,Security
1,d4:2c:46:51:29:41,BUFFALO.INC,!_AXETR_2.4G,1,802.11g/n/ax,-22,-95,TKIP/AES
2,88:57:ee:6f:db:a4,BUFFALO.INC,19_11g_CPSE_KH,2,802.11g/n,-25,-95,AES
3,88:57:ee:6f:db:a5,BUFFALO.INC,23_11g_CPSE_AY,2,802.11g/n,-26,-95,AES
4,88:57:ee:6f:db:a2,BUFFALO.INC,18_11g_CPSE_HT,2,802.11g/n,-26,-95,AES
5,88:57:ee:6f:db:a3,BUFFALO.INC,22_11g_CPSE_HM,2,802.11g/n,-26,-95,AES
6,88:57:ee:6f:db:a1,BUFFALO.INC,17_11g_CPSE_Share,2,802.11g/n,-26,-95,AES
7,60:84:bd:46:26:f0,BUFFALO.INC,FREESPOT,2,802.11g/n,-26,-95,NONE
8,88:57:ee:6f:db:a7,BUFFALO.INC,21_11g_CPSE_TT,2,802.11g/n,-26,-95,AES
9,88:57:ee:6f:db:a6,BUFFALO.INC,20_11g_CPSE_MA,2,802.11g/n,-28,-95,AES
10,c4:36:c0:c3:17:71,BUFFALO.INC,Navitest-24,11,802.11g/n/ax,-29,-95,AES
11,50:c4:dd:ca:71:9f,BUFFALO.INC,Buffalo-G-7190-WPA3,11,802.11g/n/ax,-29,-95,AES
12,c4:36:c0:c3:17:72,BUFFALO.INC,navitest-ma,11,802.11g/n/ax,-30,-95,AES
13,c4:36:c0:c3:17:74,BUFFALO.INC,radiustest-tls,11,802.11g/n/ax,-30,-95,AES
14,c4:36:c0:c3:17:73,BUFFALO.INC,radiustest-peap,11,802.11g/n/ax,-30,-95,AES
15,50:c4:dd:4f:c1:78,BUFFALO.INC,Buffalo-G-C178,6,802.11g/n,-31,-95,NONE
16,74:da:38:61:49:92,Edimax Technology Co. Ltd.,CFD-RMG2.4G,3,802.11g/n,-31,-95,AES
17,34:3d:c4:34:3e:80,BUFFALO.INC,AW-WAPM1166D-g,6,802.11g/n,-32,-95,AES
18,34:3d:c4:34:3e:82,BUFFALO.INC,0000BITSTEST-ZZZZ,6,802.11g/n,-32,-95,AES
19,34:3d:c4:34:3e:81,BUFFALO.INC,.,6,802.11g/n,-32,-95,AES
20,50:c4:dd:ca:71:98,BUFFALO.INC,Buffalo-G-7190,11,802.11g/n/ax,-32,-95,AES
21,58:27:8c:fb:09:00,BUFFALO.INC,WAP-G,11,802.11g/n,-43,-95,AES
22,58:27:8c:fb:09:03,BUFFALO.INC,.,11,802.11g/n,-43,-95,AES
23,58:27:8c:fb:09:01,BUFFALO.INC,WAP-BITSsales_G,11,802.11g/n,-44,-95,AES
24,18:c2:bf:62:ac:b3,BUFFALO.INC,.,10,802.11g/n,-47,-95,AES
25,18:c2:bf:c3:17:d2,BUFFALO.INC,FREESPOT,9,802.11g/n,-47,-95,NONE
26,58:27:8c:fb:09:02,BUFFALO.INC,FREESPOT,11,802.11g/n,-47,-95,NONE
27,18:c2:bf:c3:17:d3,BUFFALO.INC,.,9,802.11g/n,-48,-95,AES
28,18:c2:bf:c3:08:40,BUFFALO.INC,FREESPOT,3,802.11g/n,-50,-95,NONE
29,18:c2:bf:62:ac:b1,BUFFALO.INC,WAP-BITSsales_G,10,802.11g/n,-52,-95,AES
30,18:c2:bf:c3:17:d0,BUFFALO.INC,WAP-G,9,802.11g/n,-52,-95,AES
31,18:c2:bf:c3:17:d1,BUFFALO.INC,WAP-BITSsales_G,9,802.11g/n,-52,-95,AES
32,18:c2:bf:c3:0e:a1,BUFFALO.INC,WAP-BITSsales_G,2,802.11g/n,-55,-95,AES
33,18:c2:bf:c3:0e:a0,BUFFALO.INC,WAP-G,2,802.11g/n,-56,-95,AES
34,18:c2:bf:c3:0e:a2,BUFFALO.INC,FREESPOT,2,802.11g/n,-57,-95,NONE
35,18:c2:bf:62:de:90,BUFFALO.INC,WAP-G,10,802.11g/n,-62,-95,AES
36,18:c2:bf:62:de:93,BUFFALO.INC,.,10,802.11g/n,-63,-95,AES
37,d4:2c:46:34:d9:04,BUFFALO.INC,Buffalo-D900-WPA3,6,802.11g/n,-64,-95,AES
38,d4:2c:46:34:d9:01,BUFFALO.INC,.,6,802.11g/n,-65,-95,AES
39,d4:2c:46:34:d9:00,BUFFALO.INC,Buffalo-D900,6,802.11g/n,-65,-95,AES
40,18:c2:bf:62:d6:22,BUFFALO.INC,FREESPOT,8,802.11g/n,-77,-95,NONE
41,60:84:bd:46:26:f8,BUFFALO.INC,FREESPOT,48(80MHz),802.11a/n/ac,-33,-95,NONE
42,d4:2c:46:51:29:51,BUFFALO.INC,!_AXETR_5G,36+40,802.11a/n/ac/ax,-33,-95,NONE
