"Photon energy, eV","n","k"
1.4999296810198368,3.673,0.005
1.6000024188037127,3.714,0.008
1.7000437053763846,3.752,0.01
1.8000027211541771,3.796,0.013
1.9001408035724094,3.847,0.016
2.0000675501387275,3.906,0.022
2.100003174679873,3.969,0.03
2.1998613809989305,4.042,0.032
2.2998365318697775,4.123,0.048
2.4000036282055697,4.215,0.06
2.5001852678584333,4.32,0.073
2.5997942426735103,4.442,0.09
2.7000040817312656,4.583,0.13
2.8000042329064976,4.753,0.163
2.900214910715783,4.961,0.203
2.9998593620396736,5.222,0.269
3.1003797807726863,5.57,0.387
3.1995919337574117,6.062,0.63
3.300084839848276,6.709,1.32
3.3996212622182536,6.522,2.705
3.5004005486476486,5.61,3.014
3.6000054423083543,5.296,2.987
3.699916067833474,5.156,3.058
3.7996992777535925,5.065,3.182
3.9001002652752343,5.016,3.346
3.999489917196765,5.01,3.586
4.100006198184515,5.02,3.979
4.200006349359746,4.888,4.639
4.3005267926846935,4.087,5.395
4.399722761997861,3.12,5.344
4.50033348214518,2.452,5.082
4.600526435365481,1.988,4.678
4.699931290109921,1.764,4.278
4.800007256411139,1.658,3.979
4.900560768106708,1.597,3.749
4.999362396495957,1.57,3.565
5.100131116129153,1.571,3.429
5.200679003066263,1.589,3.354
5.300734819713541,1.579,3.353
5.400008163462531,1.471,3.366
5.500629433589162,1.34,3.302
5.600008465812995,1.247,3.206
5.700422410717228,1.186,3.12
5.799073313054243,1.133,3.045
5.901198830704413,1.083,2.982
6.001170737323316,1.01,2.909
