wavelength,zigzag,armchair
441.6,4.10-0.21i,3.92-0.94i
449.1,4.06-0.15i,3.88-0.65i
450.6,4.05-0.14i,3.87-0.64i
488,3.76-0.064i,3.66-0.45i
497.1,3.72-0.060i,3.64-0.43i
499.1,3.71-0.060i,3.64-0.43i
514.5,3.67-0.050i,3.60-0.40i
524.6,3.65-0.050i,3.58-0.37i
526.8,3.64-0.050i,3.57-0.37i
532,3.62-0.050i,3.57-0.37i
542.8,3.61-0.050i,3.54-0.36i
545.1,3.60-0.050i,3.53-0.37i
632.8,3.46-0.044i,3.50-0.39i
648.1,3.43-0.040i,3.48-0.36i
651.4,3.43-0.040i,3.48-0.37i
