"Photon energy, eV","n","k"
0.12000018141027846,8.499,7.0568
0.15991975574701042,7.3282,6.1941
0.19983912097143824,6.5538,5.5633
0.23975902582205236,5.9969,5.0772
0.279678300586722,5.5736,4.6879
0.3195962969353501,5.2393,4.3669
0.3595203486432167,4.9676,4.0961
0.3994335935344707,4.742,3.8637
0.43936421359048766,4.5514,3.6613
0.4792770784842851,4.3881,3.483
0.5191967647952249,4.2468,3.3243
0.559116967003832,4.1232,3.1819
0.5990442452195957,4.0144,3.0534
0.6389620049118724,3.9179,2.9367
0.6788818235399425,3.8318,2.8302
0.718790581674878,3.7547,2.7326
0.7587307229245438,3.6854,2.6429
0.7986613465157157,3.6227,2.5602
0.8385809092532953,3.5659,2.4838
0.8784482601183202,3.5142,2.4132
0.9184013883933312,3.4671,2.3477
0.9582948479911865,3.4239,2.287
0.9982623786884035,3.3843,2.2306
1.038132692230593,3.3478,2.1783
1.078123368983476,3.314,2.1297
1.1179818524174907,3.2826,2.0846
1.1578650301933107,3.2534,2.0427
1.1977991250420224,3.2259,2.0038
1.2377377202066457,3.2001,1.9677
1.2776737954131814,3.1755,1.9342
1.3175930395976547,3.1522,1.9032
1.3575109209597918,3.1298,1.8743
1.3974300624764686,3.1081,1.8475
1.437364504545662,3.0872,1.8226
1.477286063282373,3.0667,1.7994
1.5172014761940273,3.0466,1.7776
1.55712081072415,3.0268,1.7573
1.597034642464638,3.0073,1.7381
1.6369494386540937,2.9879,1.7199
1.6768669349062688,2.9687,1.7027
1.7168045007214228,2.9496,1.6862
1.7567222669297322,2.9305,1.6702
1.796637937560314,2.9116,1.6548
1.8365579023996759,2.8928,1.6397
1.8764728017964933,2.8742,1.6248
1.9163823273582965,2.8558,1.6101
1.9563271180431032,2.8377,1.5955
1.9962354478916051,2.8198,1.581
2.0361660579248118,2.8023,1.5663
2.076091551123572,2.7853,1.5517
2.115987770643747,2.7688,1.5369
2.1559092912952704,2.7528,1.522
2.1958483862547107,2.7375,1.507
2.2357621032025916,2.7229,1.4919
2.275690823264559,2.709,1.4767
2.3156003106493794,2.6959,1.4615
2.355501699086171,2.6837,1.4461
2.3954131152669045,2.6724,1.4308
2.4353601931467237,2.6621,1.4155
2.475277754259413,2.6528,1.4004
2.5151983493548853,2.6444,1.3853
2.555110613986887,2.6372,1.3704
2.59506012167151,2.631,1.3558
2.6349340636948977,2.626,1.3416
2.674897789327085,2.6221,1.3277
2.7147840471447275,2.6193,1.3142
2.754714438168764,2.6176,1.3013
2.794639635593367,2.6172,1.289
2.8345721863991704,2.6178,1.2774
2.874462417014808,2.6196,1.2665
2.9143948905340538,2.6226,1.2564
2.9543257186146192,2.6266,1.2473
2.9942085450420137,2.6318,1.2393
3.0341430495338013,2.638,1.2323
3.0740897409773806,2.6453,1.2265
3.114006968054746,2.6536,1.222
3.153931149884249,2.6629,1.219
3.193822448044815,2.673,1.2174
3.233723362277972,2.6841,1.2174
3.273682766960624,2.6959,1.2192
3.313579053187046,2.7084,1.2228
3.353552444702597,2.7216,1.2283
3.393387181024707,2.7352,1.2359
3.4333237547934123,2.7492,1.2457
3.4732382954617953,2.7635,1.2578
3.5131956428862803,2.7779,1.2723
3.5530645488780546,2.7922,1.2893
3.593015545631313,2.8062,1.309
3.6329168844672917,2.8197,1.3314
3.6728437785673997,2.8324,1.3566
3.712768384533141,2.8441,1.3848
3.752661625143004,2.8544,1.4158
3.7926092023217315,2.8631,1.4499
3.832586937653778,2.8697,1.4868
3.872448618955546,2.8738,1.5266
3.9124073030324933,2.8751,1.5691
3.9523171001944446,2.8732,1.6142
3.9922780600560186,2.8675,1.6615
4.032137221799074,2.8578,1.7108
4.072131488589999,2.8436,1.7616
4.111972255011267,2.8246,1.8133
4.151905010819761,2.8005,1.8656
4.191770485938864,2.7712,1.9176
4.231686659377444,2.7366,1.9688
4.271634364620145,2.6968,2.0183
4.31159366508206,2.6519,2.0656
4.351543852067237,2.6023,2.1099
4.391463444660493,2.5483,2.1506
4.431330191683038,2.4905,2.1871
4.4712823193443585,2.4294,2.2191
4.511140570262688,2.3658,2.2463
4.5510475143376175,2.3003,2.2683
4.590986722694946,2.2336,2.2853
4.630941150902017,2.1664,2.2972
4.670893137172231,2.0992,2.3041
4.71082440188076,2.0326,2.3063
4.750716048474968,1.967,2.3041
4.790548565862977,1.903,2.2978
4.830490023497086,1.8407,2.2878
4.870529047497632,1.7804,2.2745
4.910459322472166,1.7224,2.2581
4.950259020725853,1.6667,2.2392
4.990307403223977,1.6134,2.2179
5.030192609262403,1.5626,2.1947
5.0700984474155435,1.5141,2.1699
5.110010610110032,1.4681,2.1436
5.149914327439241,1.4244,2.1162
5.189794367228954,1.3829,2.0878
5.229855630535273,1.3436,2.0586
5.269644144555412,1.3064,2.0289
5.309587916281946,1.2711,1.9986
5.349449343448233,1.2378,1.968
5.389445226389903,1.2062,1.9372
5.42933033075406,1.1763,1.9062
5.469327603030558,1.1479,1.8751
5.509184067233935,1.1211,1.8439
5.549128918815724,1.0956,1.8128
5.589153290046419,1.0715,1.7816
5.628992437714506,1.0486,1.7505
5.668885164514641,1.0269,1.7195
5.708821596514398,1.0063,1.6885
5.7487915534427465,0.98672,1.6576
5.788514283257842,0.96818,1.6267
5.828515768761739,0.95059,1.5959
5.868518361958617,0.93392,1.5652
5.908510647784012,0.91815,1.5345
5.948195520682197,0.90324,1.5038
5.9881278644336975,0.88917,1.4731
6.028013780294619,0.87594,1.4424
6.068137599505663,0.86354,1.4116
6.107896321646372,0.85195,1.3809
6.1478746185897615,0.84119,1.35
6.18776201193291,0.83127,1.3191
6.2278575162296415,0.82219,1.2882
6.267525398498621,0.81397,1.2571
6.307701843360791,0.80664,1.226
6.347421667593289,0.80021,1.1947
6.387315822631483,0.79472,1.1634
6.427381411772925,0.79019,1.1321
6.467278046690299,0.78667,1.1006
6.507331519083594,0.78418,1.0692
6.547192661620093,0.78276,1.0377
6.587195166990741,0.78246,1.0063
6.626980994874109,0.78329,0.97502
6.666891833795758,0.78531,0.94383
6.706923479016537,0.78853,0.91285
6.74670443669259,0.79299,0.88215
6.786588616404823,0.79869,0.8518
6.826571271506426,0.80565,0.82189
6.866647509586825,0.81386,0.79251
6.906427553091561,0.8233,0.76377
6.94628200084597,0.83393,0.73576
6.986205411230051,0.84571,0.70858
7.026192192740548,0.85858,0.68231
7.06623660282114,0.87244,0.65704
7.105925460402322,0.88722,0.63285
7.1460626762593495,0.9028,0.60978
7.185822848794466,0.91909,0.58787
7.225606820508172,0.93598,0.56716
7.265833768934583,0.95335,0.54764
7.305650075605428,0.9711,0.52932
7.345469958711992,0.98914,0.51217
7.385286361275894,1.0074,0.49616
7.425536769066282,1.0257,0.48126
7.4653292047868325,1.0441,0.46742
7.505096091591992,1.0624,0.45459
7.5452889138936055,1.0807,0.44273
7.58498638401442,1.0988,0.43177
7.625103778173414,1.1168,0.42167
7.66470001441022,1.1346,0.41238
7.704709634172241,1.1521,0.40384
7.744655345936642,1.1695,0.39601
7.7845286264268045,1.1865,0.38884
7.8243208022907815,1.2033,0.38228
7.86452187967648,1.2198,0.3763
7.904634200388889,1.2361,0.37086
7.944139644588949,1.252,0.36593
7.984041949455838,1.2677,0.36146
8.024347125305786,1.2831,0.35743
8.064012190770713,1.2982,0.35381
8.10407134015947,1.313,0.35058
8.14399549613109,1.3276,0.3477
8.183774748059387,1.3419,0.34516
8.223944510022534,1.3559,0.34294
8.263408919828027,1.3697,0.34101
8.303810021639523,1.3833,0.33936
8.343485022415862,1.3965,0.33797
8.383540971877729,1.4096,0.33683
8.42341106278278,1.4224,0.33592
8.463084466423188,1.435,0.33522
8.503133353892032,1.4473,0.33474
8.542974397650362,1.4595,0.33444
8.583190545732068,1.4715,0.33433
8.62318733016412,1.4832,0.3344
8.662953286270243,1.4947,0.33463
8.703087704134473,1.5061,0.33502
8.742979157541761,1.5173,0.33555
8.782615813069329,1.5283,0.33623
8.822613494136464,1.5391,0.33704
8.862343633531074,1.5498,0.33798
8.902433218431803,1.5603,0.33905
8.942242151684077,1.5706,0.34023
8.982408710649837,1.5808,0.34153
9.022281140525376,1.5908,0.34293
9.06184676458849,1.6007,0.34443
9.10176093327703,1.6105,0.34604
9.142028272607265,1.6201,0.34774
9.181973445389891,1.6296,0.34953
9.221583297367031,1.639,0.35141
9.261536373578824,1.6482,0.35338
9.30183715455771,1.6573,0.35543
9.341786274344463,1.6663,0.35756
9.381370114489991,1.6752,0.35976
9.421290838381438,1.684,0.36204
9.461552765041187,1.6927,0.36439
9.501432096949936,1.7013,0.36682
9.540914769765271,1.7098,0.36931
9.580726947925177,1.7182,0.37187
9.620872773578002,1.7265,0.37449
9.660603664726485,1.7347,0.37717
9.700664066434529,1.7429,0.37992
9.741058094995264,1.7509,0.38273
9.780246701356766,1.7589,0.3856
9.820529697671263,1.7668,0.38853
9.86036165365832,1.7746,0.39151
9.900518041451706,1.7824,0.39455
9.94020583926078,1.7901,0.39764
9.980213107389497,1.7977,0.40079
10.020543718831302,1.8053,0.40399
10.060385218524805,1.8128,0.40725
10.099722013123145,1.8203,0.41055
10.140196894831087,1.8277,0.41391
10.18016154307412,1.8351,0.41732
10.219600019213626,1.8424,0.42078
10.25934525718657,1.8497,0.42429
10.299400850066432,1.8569,0.42785
10.33977044726042,1.8641,0.43146
10.379588734457908,1.8712,0.43512
10.419714886385387,1.8784,0.43883
10.459270071967243,1.8855,0.44258
10.499126719713754,1.8926,0.44639
10.539288289110823,1.8996,0.45025
10.578855583028986,1.9066,0.45416
10.618721088823202,1.9137,0.45812
10.658888190603482,1.9207,0.46213
10.698437089748875,1.9277,0.46619
10.7382805675645,1.9347,0.47031
10.778421927592778,1.9416,0.47448
10.81886452295809,1.9486,0.4787
10.85866066150812,1.9556,0.48298
10.898750653401873,1.9626,0.48731
10.938172689289784,1.9696,0.49171
10.977880948565584,1.9767,0.49616
11.017878559770702,1.9837,0.50067
11.058168697208323,1.9908,0.50525
11.097761137943046,1.9978,0.50989
11.137638109333427,2.005,0.51459
11.177802689605095,2.0121,0.51937
11.21724305013116,2.0193,0.52421
11.257984875429011,2.0266,0.52914
11.297994116375042,2.0338,0.53413
11.33725195986647,2.0412,0.53921
11.377827606965194,2.0486,0.54437
11.417643193028796,2.056,0.54963
11.45773841910172,2.0635,0.55497
11.49705002161533,2.0711,0.56041
11.536632309770143,2.0788,0.56595
11.57648808899157,2.0865,0.57159
11.616620203607205,2.0944,0.57735
11.657031537523478,2.1023,0.58322
11.696621455952803,2.1103,0.58922
11.736481203436172,2.1185,0.59535
11.776613547976796,2.1267,0.60161
11.817021295568024,2.135,0.60802
11.856573341598901,2.1435,0.61459
11.896391041364394,2.1521,0.62131
11.936477080302273,2.1608,0.62821
11.975677333439556,2.1697,0.63529
12.016300390879989,2.1787,0.64257
12.056027560589238,2.1879,0.65005
12.09601828615607,2.1972,0.65775
12.136275199011326,2.2066,0.66568
12.175605168722353,2.2163,0.67385
12.215190880108345,2.2261,0.68228
12.256246286387873,2.2361,0.69099
12.29513957091429,2.2463,0.7
12.335507654273178,2.2566,0.70931
12.374906421109863,2.2672,0.71896
12.41530355614633,2.2779,0.72896
12.45521452152814,2.2889,0.73933
12.495131057696543,2.3001,0.7501
12.535050796997242,2.3115,0.76129
12.574971340936722,2.3231,0.77293
12.614890260174567,2.3349,0.78504
12.654805094525049,2.3469,0.79766
12.69471335296825,2.3592,0.81081
12.734743314239024,2.3717,0.82452
12.774631645262966,2.3844,0.83883
12.814505744845091,2.3973,0.85376
12.854496271005237,2.4104,0.86936
12.894334862106591,2.4238,0.88565
12.934286221465278,2.4374,0.90266
12.974214377378008,2.4513,0.92043
13.014116599638886,2.4654,0.93897
13.053990127513709,2.4797,0.95832
13.093970453816716,2.4944,0.97848
13.133918160285987,2.5094,0.99947
13.173830400694872,2.5248,1.0213
13.213704298529224,2.5409,1.0439
13.253678624979925,2.558,1.0676
13.293610472530151,2.5768,1.093
13.333496879466992,2.5982,1.1216
13.37347910484416,2.6234,1.1578
13.413266485611324,2.6485,1.2097
13.453291315346272,2.6579,1.2796
13.493115177674722,2.6415,1.3467
13.533027793518567,2.6182,1.3965
13.573028641987577,2.601,1.4395
13.612967723610499,2.5879,1.4856
13.652841852739694,2.5714,1.5384
13.692799036202162,2.5419,1.5936
13.732686570499723,2.4994,1.6341
13.77265417710112,2.4661,1.6542
13.812547339976797,2.4514,1.6736
13.852517505904798,2.4439,1.7022
13.892408335734903,2.4357,1.7377
13.932216452573824,2.424,1.7768
13.97225336200637,2.4081,1.8173
14.01220431417331,2.3882,1.8581
14.052065852876474,2.3643,1.8985
14.091994661760326,2.3366,1.9379
14.131828872854276,2.3055,1.9758
14.171888923153388,2.2712,2.0119
14.211688017457355,2.234,2.0458
14.251711277886306,2.1942,2.0772
14.291631117436829,2.1523,2.1059
14.331443896002833,2.1085,2.1316
14.371479110373093,2.0632,2.1542
14.411403597858904,2.0169,2.1737
14.451213641016343,1.9699,2.19
14.49124423585167,1.9226,2.2032
14.531156597060548,1.8752,2.2133
14.57094693067337,1.8282,2.2204
14.610955776553462,1.7817,2.2247
14.650838682331637,1.7361,2.2264
14.690765845904986,1.6914,2.2256
14.73073620695756,1.648,2.2226
14.770572722551789,1.6058,2.2175
14.810448363845918,1.5651,2.2105
14.850362015726589,1.5258,2.202
14.890312548261539,1.4881,2.1919
14.93029881663492,1.4519,2.1806
14.970138905965843,1.4173,2.1682
15.010192183183984,1.3842,2.1549
15.050094977373389,1.3527,2.1407
15.090026828755,1.3226,2.1259
15.12980187598078,1.294,2.1106
15.169787159474339,1.2668,2.0948
15.209797761555977,1.2409,2.0787
15.2496448388251,1.2163,2.0624
15.289512699695369,1.193,2.0458
15.32940002882044,1.1708,2.0292
15.369496018681241,1.1498,2.0125
15.409419268344482,1.1298,1.9958
15.44916544342264,1.1109,1.9792
15.48911718675508,1.0929,1.9627
15.52908159232211,1.0758,1.9463
15.569057252853609,1.0595,1.93
15.608846237423169,1.0441,1.9139
15.648839116119063,1.0295,1.898
15.68883893265589,1.0155,1.8824
15.728644681784125,1.0022,1.8669
15.768652935136748,0.98959,1.8517
15.80846210369885,0.97756,1.8367
15.848472783564025,0.96608,1.8219
15.888279289177898,0.95514,1.8074
15.928286261783901,0.94469,1.7932
15.968289556578705,0.93471,1.7792
16.00808090703796,0.92517,1.7655
16.04807106488645,0.91605,1.752
16.088052764266955,0.90732,1.7388
16.127814588831328,0.89896,1.7258
16.16777344405755,0.89094,1.7131
16.207718921408645,0.88324,1.7006
16.247649351072575,0.87586,1.6884
16.287563047883623,0.86876,1.6764
16.32745831135426,0.86193,1.6647
16.367333425710513,0.85535,1.6532
16.407403783857784,0.84901,1.6419
16.44723444716975,0.8429,1.6308
16.487258967167513,0.837,1.62
16.527038141417467,0.83131,1.6093
16.5670097321013,0.82579,1.5989
16.606952695370854,0.82046,1.5887
16.64686521477191,0.8153,1.5786
16.686745458755563,0.81029,1.5688
16.72659158074304,0.80542,1.5591
