"Wavelength, µm","n","k"
0.030996,0.66638,0.099024
0.031027,0.66656,0.09985
0.031058,0.66677,0.10066
0.031089,0.66698,0.10145
0.03112,0.6672,0.10222
0.031151,0.66744,0.10297
0.031183,0.66768,0.1037
0.031214,0.66793,0.10441
0.031246,0.6682,0.1051
0.031277,0.66846,0.10578
0.031309,0.66874,0.10643
0.03134,0.66902,0.10706
0.031372,0.6693,0.10766
0.031403,0.66959,0.10825
0.031435,0.66988,0.10882
0.031467,0.67018,0.10936
0.031499,0.67048,0.10989
0.031531,0.67077,0.11039
0.031563,0.67107,0.11087
0.031595,0.67137,0.11133
0.031627,0.67167,0.11177
0.03166,0.67196,0.11219
0.031692,0.67226,0.11259
0.031724,0.67254,0.11297
0.031757,0.67283,0.11333
0.031789,0.67311,0.11367
0.031822,0.67339,0.11398
0.031854,0.67366,0.11428
0.031887,0.67392,0.11456
0.03192,0.67418,0.11482
0.031953,0.67443,0.11507
0.031986,0.67467,0.11529
0.032019,0.6749,0.1155
0.032052,0.67512,0.11569
0.032085,0.67533,0.11586
0.032118,0.67554,0.11602
0.032151,0.67573,0.11615
0.032184,0.67591,0.11628
0.032218,0.67608,0.11639
0.032251,0.67624,0.11648
0.032285,0.67638,0.11656
0.032318,0.67652,0.11662
0.032352,0.67664,0.11668
0.032386,0.67674,0.11671
0.03242,0.67684,0.11674
0.032454,0.67692,0.11675
0.032487,0.67698,0.11675
0.032521,0.67704,0.11674
0.032556,0.67707,0.11672
0.03259,0.6771,0.11669
0.032624,0.6771,0.11665
0.032658,0.6771,0.1166
0.032693,0.67707,0.11654
0.032727,0.67704,0.11647
0.032762,0.67698,0.1164
0.032796,0.67692,0.11631
0.032831,0.67683,0.11622
0.032866,0.67673,0.11612
0.0329,0.67662,0.11602
0.032935,0.67649,0.11591
0.03297,0.67634,0.11579
0.033005,0.67618,0.11567
0.03304,0.676,0.11554
0.033076,0.6758,0.11541
0.033111,0.67559,0.11528
0.033146,0.67536,0.11514
0.033182,0.67512,0.11499
0.033217,0.67486,0.11485
0.033253,0.67459,0.1147
0.033288,0.6743,0.11455
0.033324,0.674,0.11439
0.03336,0.67367,0.11424
0.033396,0.67334,0.11408
0.033432,0.67298,0.11392
0.033468,0.67262,0.11377
0.033504,0.67223,0.11361
0.03354,0.67183,0.11345
