id,type,word,,,,,,,,,,,,,,,,,
10416,TXYLTGP,通信业龙头股票,,,,,,,,,,,,,,,1,1,
10417,TXYPMQ10GP,通信业排名前十股票,,,,,,,,,,,,,,,1,1,
10418,YSJSYLTGP,有色金属业龙头股票,,,,,,,,,,,,,,,1,1,
10419,YSYPMQ10GP,有色金属业排名前十股票,,,,,,,,,,,,,,,1,1,
10420,GFJGYLTGP,国防军工业龙头股票,,,,,,,,,,,,,,,1,1,
10421,GFJGYPMQ10GP,国防军工业排名前十股票,,,,,,,,,,,,,,,1,1,
10422,SPYLYLTGP,食品饮料业龙头股票,,,,,,,,,,,,,,,1,1,
10423,SPYLYPMQ10GP,食品饮料业排名前十股票,,,,,,,,,,,,,,,1,1,
1100,ssrs,实时热搜,,,,,,,,,,,,,,,1,1,
1101,ztzz,涨停追踪,,,,,,,,,,,,,,,1,1,
1102,zlyd,机构抢筹,,,,,,,,,,,,,,,1,1,
1103,dfgz,多方关注,,,,,,,,,,,,,,,1,1,
1104,jjzc,基金增仓,,,,,,,,,,,,,,,1,1,
1105,ybtj,研报推荐,,,,,,,,,,,,,,,1,1,
2,KXXT,K线形态,,,,,,,,,,,,,,,1,1,
200,DNO,曙光初现,,,,,,,,,,,,,,,1,1,
201,MAS,身怀六甲,,,,,,,,,,,,,,,1,1,
202,SLL,挽袖线,,,,,,,,,,,,,,,1,1,
203,TRR,红三兵,,,,,,,,,,,,,,,1,1,
204,BRE,穿头破脚,,,,,,,,,,,,,,,1,1,
205,ILG,仙人指路,,,,,,,,,,,,,,,1,1,
206,RCT,一阳三线,,,,,,,,,,,,,,,1,1,
207,HRW,出水芙蓉,,,,,,,,,,,,,,,1,1,
208,MCN,多方炮,,,,,,,,,,,,,,,1,1,
209,LLS,长下影线,,,,,,,,,,,,,,,1,1,
210,GND,金针探底,,,,,,,,,,,,,,,1,1,
211,RSL,上升通道,,,,,,,,,,,,,,,1,1,
212,PFB,平台突破,,,,,,,,,,,,,,,1,1,
213,BXB,箱体突破,,,,,,,,,,,,,,,1,1,
214,TRG,两阳夹一阴,,,,,,,,,,,,,,,1,1,
215,TGW,两阴夹一阳,,,,,,,,,,,,,,,1,1,
216,RSG,阳包阴,,,,,,,,,,,,,,,1,1,
217,GSR,阴包阳,,,,,,,,,,,,,,,1,1,
218,SDR,假阳线,,,,,,,,,,,,,,,1,1,
219,SDG,假阴线,,,,,,,,,,,,,,,1,1,
220,RCL,阳十字星,,,,,,,,,,,,,,,1,1,
221,GCL,阴十字星,,,,,,,,,,,,,,,1,1,
222,ALG,均线粘合,,,,,,,,,,,,,,,1,1,
223,ALR,均线多头排列,,,,,,,,,,,,,,,1,1,
30000,MGC,MACD金叉,,,,,,,,,,,,,,,1,1,
30001,MDC,MACD死叉,,,,,,,,,,,,,,,1,1,
30002,MHEB,MACD红二波,,,,,,,,,,,,,,,1,1,
30100,KGC,KDJ金叉,,,,,,,,,,,,,,,1,1,
30101,KDC,KDJ死叉,,,,,,,,,,,,,,,1,1,
30102,KSB,KDJ超买,,,,,,,,,,,,,,,1,1,
30103,KSS,KDJ超卖,,,,,,,,,,,,,,,1,1,
30104,KTD,KDJ顶背离,,,,,,,,,,,,,,,1,1,
30105,KBD,KDJ底背离,,,,,,,,,,,,,,,1,1,
30200,WGC,WR金叉,,,,,,,,,,,,,,,1,1,
30201,WDC,WR死叉,,,,,,,,,,,,,,,1,1,
30202,WSB,WR买入,,,,,,,,,,,,,,,1,1,
30203,WSS,WR卖出,,,,,,,,,,,,,,,1,1,
30204,WTD,WR顶背离,,,,,,,,,,,,,,,1,1,
30205,WBD,WR底背离,,,,,,,,,,,,,,,1,1,
30300,RGC,RSI金叉,,,,,,,,,,,,,,,1,1,
30301,RDC,RSI死叉,,,,,,,,,,,,,,,1,1,
30302,RSB,RSI超买,,,,,,,,,,,,,,,1,1,
30303,RSS,RSI超卖,,,,,,,,,,,,,,,1,1,
30304,RDD,RSI顶背离,,,,,,,,,,,,,,,1,1,
30305,RBD,RSI底背离,,,,,,,,,,,,,,,1,1,
30400,CGX,CCI金叉,,,,,,,,,,,,,,,1,1,
30401,CSX,CCI死叉,,,,,,,,,,,,,,,1,1,
30402,CSB,CCI超买,,,,,,,,,,,,,,,1,1,
30403,CSS,CCI超卖,,,,,,,,,,,,,,,1,1,
30404,CTD,CCI顶背离,,,,,,,,,,,,,,,1,1,
30405,CBD,CCI底背离,,,,,,,,,,,,,,,1,1,
30500,MTC,MTM金叉,,,,,,,,,,,,,,,1,1,
30501,MCR,MTM死叉,,,,,,,,,,,,,,,1,1,
30502,MSB,MTM买入,,,,,,,,,,,,,,,1,1,
30503,MSS,MTM卖出,,,,,,,,,,,,,,,1,1,
30504,MTD,MTM顶背离,,,,,,,,,,,,,,,1,1,
30505,MBD,MTM底背离,,,,,,,,,,,,,,,1,1,
30600,BGC,BIAS金叉,,,,,,,,,,,,,,,1,1,
30601,BDC,BIAS死叉,,,,,,,,,,,,,,,1,1,
30602,BSB,BIAS超买,,,,,,,,,,,,,,,1,1,
30603,BSS,BIAS超卖,,,,,,,,,,,,,,,1,1,
30604,BTD,BIAS顶背离,,,,,,,,,,,,,,,1,1,
30606,BBD,BIAS底背离,,,,,,,,,,,,,,,1,1,
30700,BUL,BOLL突破上轨,,,,,,,,,,,,,,,1,1,
30701,BCL,BOLL突破中轨,,,,,,,,,,,,,,,1,1,
30702,BOL,BOLL突破下轨,,,,,,,,,,,,,,,1,1,
524,pjpfpz,破净破发破增,,,,,,,,,,,,,,,1,1,
52400,PJGP,破净股票,,,,,,,,,,,,,,,1,1,
52401,pfgp,破发股票,,,,,,,,,,,,,,,1,1,
52402,pzgp,破增股票,,,,,,,,,,,,,,,1,1,
225,TGTW,两阴夹两阳,,,,,,,,,,,,,,,1,1,
226,TRTG,两阳夹两阴,,,,,,,,,,,,,,,1,1,
30003,MAT,MACD顶背离,,,,,,,,,,,,,,,1,1,
30005,MAB,MACD底背离,,,,,,,,,,,,,,,1,1,
1601,JGJMRD,机构净买入多,,,,,,,,,,,,,,,1,1,
1602,MRJGSJD,买入机构数较多,,,,,,,,,,,,,,,1,1,
1604,SBCCZT,上榜初次涨停,,,,,,,,,,,,,,,1,1,
1603,HYYYBJMR,活跃营业部净买入,,,,,,,,,,,,,,,1,1,
10006,EBJ,京A,,,,,,,,,,,,,,,1,1,
224,QXNXF,七仙女下凡,,,,,,,,,,,,,,,1,1,
227,SJZX,射击之星,,,,,,,,,,,,,,,1,1,1
KDSJ4404,KDSJ4404,黄昏之星,,,,,,,,,,,,,,,111,1,2
KDSJ5443,KDSJ5443,早晨之星,,,,,,,,,,,,,,,111,1,2
KDSJ34073,KDSJ34073,平步青云,,,,,,,,,,,,,,,111,1,
KDSJ34301,KDSJ34301,BRAR死叉,,,,,,,,,,,,,,,111,1,1
KDSJ100035,KDSJ100035,接受调查,,,,,,,,,,,,,,,111,1,
KDSJ100041,KDSJ100041,收到处罚,,,,,,,,,,,,,,,111,1,
KDSJ120004,KDSJ120004,减持评级,,,,,,,,,,,,,,,111,1,
KDSJ100002,KDSJ100002,高管持股变动,,,,,,,,,,,,,,,111,1,
KDSJ100024,KDSJ100024,不减持,,,,,,,,,,,,,,,111,1,
KDSJ34064,KDSJ34064,大阳包大阴,,,,,,,,,,,,,,,111,1,
5001001010,ZT1010,传感器,,,,,,,,,,,,,,,,,
5001001587,ZT1587,虚拟数字人,,,,,,,,,,,,,,,1,1,
5001001586,ZT1586,汽车芯片,,,,,,,,,,,,,,,1,1,
5001001585,ZT1585,动力电池回收,,,,,,,,,,,,,,,1,1,1
5001001584,ZT1584,EDR概念,,,,,,,,,,,,,,,1,1,
