id,type,word,,,,,,,,,,,,,,,,,
10000,SH,沪A,,,,,,,,,,,,,,,1,1,
10001,SZ,深A,,,,,,,,,,,,,,,1,1,
10002,ZXB,中小板,,,,,,,,,,,,,,,1,1,
10003,CYB,创业板,,,,,,,,,,,,,,,1,1,
10004,ZB,主板,,,,,,,,,,,,,,,1,1,
10005,KCB,科创板,,,,,,,,,,,,,,,1,1,
1002,czql,成长潜力,,,,,,,,,,,,,,,1,1,
1003,jpft,破净反弹,,,,,,,,,,,,,,,1,1,
1004,zljlr5,大单买入,,,,,,,,,,,,,,,1,1,
10100,YH,银行,,,,,,,,,,,,,,,1,1,
10101,SP,食品饮料,,,,,,,,,,,,,,,1,1,
10102,JG,国防军工,,,,,,,,,,,,,,,1,1,
10103,TXSB,通信,,,,,,,,,,,,,,,1,1,
10104,YSJS,有色金属,,,,,,,,,,,,,,,1,1,
10105,DZI,电子,,,,,,,,,,,,,,,1,1,
10106,CMEI,传媒,,,,,,,,,,,,,,,1,1,
10107,QCHE,汽车,,,,,,,,,,,,,,,1,1,
10108,HGONG,化工,,,,,,,,,,,,,,,1,1,
10109,GTIE,钢铁,,,,,,,,,,,,,,,1,1,
10110,CJUE,采掘,,,,,,,,,,,,,,,1,1,
10111,ZHE,综合,,,,,,,,,,,,,,,1,1,
102,GNBK,概念,,,,,,,,,,,,,,,1,1,
10200,WRJ,无人机,,,,,,,,,,,,,,,1,1,
10201,ZXJY,在线教育,,,,,,,,,,,,,,,1,1,
10202,HLWQC,互联网汽车,,,,,,,,,,,,,,,1,1,
10203,MYYH,民营银行,,,,,,,,,,,,,,,1,1,
10204,TYHK,通用航空,,,,,,,,,,,,,,,1,1,
10205,WLW,物联网,,,,,,,,,,,,,,,1,1,
10206,JJZHC,基金重仓,,,,,,,,,,,,,,,1,1,
10207,QGZZ,轻工制造,,,,,,,,,,,,,,,1,1,
10208,JTYS,交通运输,,,,,,,,,,,,,,,1,1,
10209,YYSW,医药生物,,,,,,,,,,,,,,,1,1,
10210,DQZB,电气设备,,,,,,,,,,,,,,,1,1,
10211,FZFZ,纺织服装,,,,,,,,,,,,,,,1,1,
10212,SYMY,商业贸易,,,,,,,,,,,,,,,1,1,
10213,JZFS,建筑装饰,,,,,,,,,,,,,,,1,1,
10214,FDZ,房地产,,,,,,,,,,,,,,,1,1,
10215,GGSY,公用事业,,,,,,,,,,,,,,,1,1,
10216,NLMY,农林牧渔,,,,,,,,,,,,,,,1,1,
10217,JSJ,计算机,,,,,,,,,,,,,,,1,1,
10218,JXSB,机械设备,,,,,,,,,,,,,,,1,1,
10219,FYJR,非银金融,,,,,,,,,,,,,,,1,1,
10220,XXFW,休闲服务,,,,,,,,,,,,,,,1,1,
10221,JJCL,建筑材料,,,,,,,,,,,,,,,1,1,
10222,JYDQ,家用电器,,,,,,,,,,,,,,,1,1,
10300,BJ,北京,,,,,,,,,,,,,,,1,1,
10301,SHB,上海,,,,,,,,,,,,,,,1,1,
10302,SZB,深圳,,,,,,,,,,,,,,,1,1,
10303,GZ1,广州,,,,,,,,,,,,,,,1,1,
10304,JS,江苏,,,,,,,,,,,,,,,1,1,
10305,ZJ,浙江,,,,,,,,,,,,,,,1,1,
10306,JX,江西,,,,,,,,,,,,,,,1,1,
10307,TJ,天津,,,,,,,,,,,,,,,1,1,
10308,HB1,河北,,,,,,,,,,,,,,,1,1,
10309,NMG,内蒙古,,,,,,,,,,,,,,,1,1,
10310,LN,辽宁,,,,,,,,,,,,,,,1,1,
10311,JL,吉林,,,,,,,,,,,,,,,1,1,
10312,HLJ,黑龙江,,,,,,,,,,,,,,,1,1,
10313,AH,安徽,,,,,,,,,,,,,,,1,1,
10314,FJ,福建,,,,,,,,,,,,,,,1,1,
10315,SD,山东,,,,,,,,,,,,,,,1,1,
10316,HN1,河南,,,,,,,,,,,,,,,1,1,
10317,HB2,湖北,,,,,,,,,,,,,,,1,1,
10318,HN2,湖南,,,,,,,,,,,,,,,1,1,
10319,GX,广西,,,,,,,,,,,,,,,1,1,
10320,HN3,海南,,,,,,,,,,,,,,,1,1,
10321,CQ,重庆,,,,,,,,,,,,,,,1,1,
10322,SC1,四川,,,,,,,,,,,,,,,1,1,
10323,GZ,贵州,,,,,,,,,,,,,,,1,1,
10324,YN,云南,,,,,,,,,,,,,,,1,1,
10325,XZ,西藏,,,,,,,,,,,,,,,1,1,
10326,SX,陕西,,,,,,,,,,,,,,,1,1,
10327,GS,甘肃,,,,,,,,,,,,,,,1,1,
10328,QH,青海,,,,,,,,,,,,,,,1,1,
10329,NX,宁夏,,,,,,,,,,,,,,,1,1,
10330,XJ,新疆,,,,,,,,,,,,,,,1,1,
10400,HYYLTGP,银行业龙头股票,,,,,,,,,,,,,,,1,1,
10401,HYYPMQ10GP,银行业排名前十股票,,,,,,,,,,,,,,,1,1,
10402,HGYLTGP,化工业龙头股票,,,,,,,,,,,,,,,1,1,
10403,HGYPMQ10GP,化工业排名前十股票,,,,,,,,,,,,,,,1,1,
10404,GTYLTGP,钢铁业龙头股票,,,,,,,,,,,,,,,1,1,
10405,GTYPMQ10GP,钢铁业排名前十股票,,,,,,,,,,,,,,,1,1,
10406,CJYLTGP,采掘业龙头股票,,,,,,,,,,,,,,,1,1,
10407,CJYPMQ10GP,采掘业排名前十股票,,,,,,,,,,,,,,,1,1,
10408,ZHYLTGP,综合业龙头股票,,,,,,,,,,,,,,,1,1,
10409,ZHYPMQ10GP,综合业排名前十股票,,,,,,,,,,,,,,,1,1,
10410,QCYLTGP,汽车业龙头股票,,,,,,,,,,,,,,,1,1,
10411,QCYPMQ10GP,汽车业排名前十股票,,,,,,,,,,,,,,,1,1,
10412,CMYLTGP,传媒业龙头股票,,,,,,,,,,,,,,,1,1,
10413,CMYPMQ10GP,传媒业排名前十股票,,,,,,,,,,,,,,,1,1,
10414,DZYLTGP,电子业龙头股票,,,,,,,,,,,,,,,1,1,
10415,DZYPMQ10GP,电子业排名前十股票,,,,,,,,,,,,,,,1,1,
