name,type,alias,default_unit,possible_unit
市盈率,财务指标,"pe,市盈,p/e",null,倍
市净率,财务指标,"pb，市净,p/b",null,倍
市销率,财务指标,"ps,市销率，p/s",null,倍
每股收益,财务指标,"每股收益,eps，基本每股收益",null,"null,元"
净利润,财务指标,净利润,亿,"亿,null,万,w"
股息率,财务指标,股息率,%,"%,null"
流通股,财务指标,流通股,亿,null
总市值,财务指标,总市值，总值，市值,亿,"亿,万亿"
销售毛利率,财务指标,销售毛利率,%,"%,null"
营业收入,财务指标,营收，营业额,亿,"亿元,万亿,万亿元"
每股净资产,财务指标,每股净资产,null,"null,元"
每股资本公积,财务指标,每股资本公积,null,"null,元"
每股现金流,财务指标,每股现金流,null,"null,元"
每股收益增长率,财务指标,每股收益增长率,null,"null,%"
资产负债率,财务指标,资产负债率,null,"null,%"
总资产报酬率,财务指标,总资产报酬率,null,"null,%"
总资产净利率,财务指标,总资产净利率,null,"null,%"
总股本,财务指标,总股本,亿,亿，null
流通市值,财务指标,流通市值,亿,"万亿，亿,null"
营业总收入,财务指标,营业总收入,亿,万亿，亿，null
净资产,财务指标,净资产,亿,万亿，亿，null
未分配利润,财务指标,未分配利润,亿,"亿,null,万,w"
净利润同比增长率,财务指标,净利润同比增长率,null,"%,null"
营业收入同比增长率,财务指标,营业收入同比增长率,null,"%,null"
营业利润同比增长率,财务指标,营业利润同比增长率,null,"%,null"
总资产同比增长率,财务指标,总资产同比增长率,null,"%,null"
商誉比例,财务指标,商誉比例,null,"%,null"
当日股价,财务指标,当日股价,null,元，null
当日成交量,财务指标,当日成交量，成交量,null,"null,手"
当日成交额,财务指标,当日成交额，成交额,null,"null,亿"
kdj,技术指标,kdj,null,null
macd,技术指标,macd,null,null
wr,技术指标,wr,null,null
rsi,技术指标,rsi,null,null
cci,技术指标,cci,null,null
mtm,技术指标,mtm,null,null
bias,技术指标,bias,null,null
boll,技术指标,boll,null,null
换手率,财务指标,换手率,%,"%,null"
销售毛利率,财务指标,销售毛利率,%,"%,null"
净资产收益率,财务指标,roe,%,"%,null"
总资产净利率,财务指标,roa,%,"%,null"
投入资本回报率,财务指标,roic，资本回报率,%,"%,null"
营业利润率,财务指标,营业利润率,%,"%,null"
净利率,财务指标,净利率，净利润率,%,"%,null"
资产净利率,财务指标,资产净利率,%,"%,null"
毛利率,财务指标,毛利率,%,"%,null"
净利润增长率,财务指标,净利润增长率,%,"%,null"
存货周转率,财务指标,存货周转率,%,"%,null"
营业收入增长率,财务指标,营业收入增长率,%,"%,null"
归母净利润增长率,财务指标,归母净利润增长率,%,"%,null"
扣非净利润增长率,财务指标,扣非净利润增长率,%,"%,null"
自由现金流,财务指标,自由现金流,null,null
扣非净利润,财务指标,扣非净利润，eve净利润，扣除非经营损益净利润，扣除非经营性损益净利润，扣除非经营性损益的净利润，扣除非经常损益净利润，扣除非经常性损益净利润，扣除非经常性损益的净利润,亿,"亿,null,万,w"
毛利,财务指标,毛利润,null,"%,null"
当日振幅,财务指标,当日振幅,null,"null,%"
当日融资买入额,财务指标,当日融资买入额,null,万，亿，万亿
当日融券卖出额,财务指标,当日融券卖出额,null,万，亿，万亿
开盘价,财务指标,开盘价,null,"null,元"
收盘价,财务指标,收盘价,null,"null,元"
最高价,财务指标,最高价,null,"null,元"
最低价,财务指标,最低价,null,"null,元"
股东人数,财务指标,股东人数,null,"null,人，万"
人均持股数,财务指标,人均持股数,null,null
大股东增持股数,财务指标,大股东增持股数,null,null
大股东减持股数,财务指标,大股东减持股数,null,null
高管增持股数,财务指标,高管增持股数,null,null
高管减持股数,财务指标,高管减持股数,null,null
基金占流通股数量,财务指标,基金占流通股数量,null,"亿,null,万,w"
基金占流通股比,财务指标,基金占流通股比,null,"null,%"
社保占流通股比,财务指标,社保占流通股比,null,"null,%"
社保占流通股数量,财务指标,社保占流通股数量,null,"亿,null,万,w"
券商流通股数量,财务指标,券商流通股数量,null,"亿,null,万,w"
券商占流通股比,财务指标,券商占流通股比,null,"null,%"
保险占流通股数量,财务指标,保险占流通股数量,null,"亿,null,万,w"
保险占流通股比,财务指标,保险占流通股比,null,"null,%"
QFII占流通股数量,财务指标,QFII占流通股数量,null,"亿,null,万,w"
QFII占流通股比,财务指标,QFII占流通股比,null,"null,%"
信托占流通股数量,财务指标,信托占流通股数量,null,"亿,null,万,w"
信托占流通股比,财务指标,信托占流通股比,null,"null,%"
上市天数,财务指标,上市天数,天,"null,天,日"
